,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599342907,11.0.0.55,UpdateGen,9458,0.49276322369073,5.5259095039999995,0.01948835116488351,0.1995060493950605,193.0,0.346510496,0.101,0.008
3,1599342967,11.0.0.55,UpdateGen,47329,0.5718749999869033,5.5266304,0.0472762,0.8476949,531.0,1.030293616,0.101,0.008
5,1599343027,11.0.0.55,UpdateGen,160954,0.7718749999821881,6.064091136,0.07463289999999999,1.6178312,851.0,1.764478392,0.101,0.008
7,1599343087,11.0.0.55,UpdateGen,349091,1.0156250000091092,8.950099968,0.0919272,2.3667752,1178.0,2.472824552,0.101,0.008
9,1599343147,11.0.0.55,UpdateGen,613130,1.4114213578871215,12.708794368,0.11697370262973703,3.1447275272472752,1508.0,3.1874792,0.101,0.008
11,1599343207,11.0.0.55,UpdateGen,951824,2.1062500000334694,14.487703552,0.1866681,3.8602493,1840.0,3.88457176,0.255,0.022
13,1599343267,11.0.0.55,UpdateGen,1364800,2.279687499976731,14.488162304,0.20330510000000002,4.6393285,2190.0,4.593510176,0.255,0.022
15,1599343327,11.0.0.55,UpdateGen,1852770,1.710937500010914,19.119263744,0.2023586,5.4305747,2538.0,5.295276144,0.255,0.022
17,1599343387,11.0.0.55,UpdateGen,2417715,1.9125000000349388,26.904285184,0.21334920000000002,6.207944299999999,2883.0,6.018390352,0.255,0.022
19,1599343447,11.0.0.55,UpdateGen,3058833,4.232812499994893,35.494416384000004,0.2725465,6.9510395,3220.0,6.719263352,0.255,0.022
21,1599343507,11.0.0.55,UpdateGen,3771927,2.558181681886012,37.340565504,0.2855214478552145,7.739102589741026,3571.0,7.447271064,0.875,0.034
23,1599343567,11.0.0.55,UpdateGen,4559549,3.421874999985448,37.340696576,0.3413676,8.4753535,3925.0,8.170316944,0.875,0.034
