,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599318547,11.0.0.235,2,4049,0.45312500000817124,5.593542656,0.1762517,0.7516429,422.0,9.089369408,0.283,0.024
1,1599318547,11.0.0.236,0,26573,0.7984374999796273,5.59630336,0.166527,0.7061592,902.0,8.979270528,0.257,0.024
2,1599318547,11.0.0.237,1,27071,0.7234374999370488,5.596229632,0.172164,0.7301626,905.0,9.016342047999998,0.211,0.017
3,1599318547,11.0.0.238,3,27125,0.485937499984189,5.596405760000001,0.1699895,0.7351635,953.0,9.586112384,0.245,0.024
4,1599318607,11.0.0.235,2,27087,0.6546875000049113,5.596164096000001,0.3837445,1.6819864,940.0,9.393445728,0.283,0.024
5,1599318607,11.0.0.236,0,100910,0.5906249999816282,6.167318528,0.3831265,1.6747206000000001,1842.0,9.953797336000001,0.257,0.024
6,1599318607,11.0.0.237,1,101409,0.6937500000185395,6.6370723840000005,0.3749709,1.6406176000000001,1849.0,9.947240996,0.211,0.017
7,1599318607,11.0.0.238,3,101545,0.6843750000143416,6.77146624,0.3694375,1.6429316,1892.0,10.455137904,0.245,0.024
8,1599318667,11.0.0.235,2,101532,0.998437500006716,6.871822336,0.5837798000000001,2.5911459,1851.0,10.17346156,0.283,0.024
9,1599318667,11.0.0.236,0,233007,0.7718750000140062,10.362146816000001,0.5802321,2.5412708,2851.0,11.248134508,0.257,0.024
10,1599318667,11.0.0.237,1,234498,1.1640624999927383,10.966249472,0.5824606999999999,2.564642,2880.0,11.364816048,0.211,0.017
11,1599318667,11.0.0.238,3,233629,1.0390625000081855,10.999783424,0.5797088,2.6058047,2935.0,11.799010028000001,0.245,0.024
12,1599318727,11.0.0.235,2,233669,1.029687499981236,11.100205056,0.7996376,3.5598781,2852.0,11.379048808,0.283,0.024
13,1599318727,11.0.0.236,0,423360,0.94374999999674,16.066924544,0.7918733,3.5320248999999997,3917.0,12.872304663999998,0.257,0.024
14,1599318727,11.0.0.237,1,426049,1.0593750000498545,16.73787392,0.7788474000000001,3.4926606000000002,3978.0,13.183067863999998,0.211,0.017
15,1599318727,11.0.0.238,3,423484,1.046874999992724,16.570343424,0.7941990999999999,3.5819807999999997,4064.0,13.485761516,0.245,0.024
16,1599318787,11.0.0.235,2,423444,1.2765625000110958,16.638062592,1.0066719,4.4992938,3943.0,13.021911996,0.283,0.024
17,1599318787,11.0.0.236,0,670898,1.690625000014748,22.912290816,1.0048671999999998,4.4084251,5089.0,15.034449496,0.537,0.034
18,1599318787,11.0.0.237,1,672359,1.525000000019645,22.643716096,0.9826381999999999,4.437041,5242.0,15.501776128,0.513,0.029
19,1599318787,11.0.0.238,3,673011,1.5703125000073044,22.71080448,0.9918882,4.482875900000001,5341.0,15.720067796,0.515,0.034
20,1599318847,11.0.0.235,2,671475,2.3031249999803407,22.745427968,1.2249653999999999,5.3908941,5130.0,15.13377576,0.603,0.035
21,1599318847,11.0.0.236,0,976018,2.4781249999932413,22.912290816,1.2427967,5.4105967999999995,6401.0,18.37513914,0.537,0.034
22,1599318847,11.0.0.237,1,977310,2.078125000034575,22.643716096,1.1924278000000001,5.3758595,6693.0,18.812646360000002,0.513,0.029
23,1599318847,11.0.0.238,3,979013,2.1937500000012733,22.711066624,1.2101752,5.4331587,6777.0,18.996055828000003,0.515,0.034
24,1599318907,11.0.0.235,2,975473,1.9843750000154472,22.745427968,1.3786721000000002,4.549092099999999,6465.0,18.228287180000002,0.603,0.035
25,1599318907,11.0.0.236,0,1337416,2.448437499974716,22.912946176,1.4144468000000001,5.5109116,7959.0,22.281299488000002,0.537,0.034
26,1599318907,11.0.0.237,1,1340984,1.898437500012733,22.644240384,1.3737911,3.5645103,8389.0,22.632324052,0.513,0.029
27,1599318907,11.0.0.238,3,1342072,2.0687500000030923,22.711132160000002,1.3828867,4.5491032,8322.0,22.6002577,0.515,0.034
