,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599272947,11.0.0.36,1,31851,0.6281249999847205,5.595942912000001,0.22067679999999998,0.93313,900.0,5.51995038,0.251,0.018
1,1599272947,11.0.0.37,3,4674,0.9578124999916184,5.524799488,0.2226314,0.9494731,379.0,5.146183008,0.181,0.009
2,1599272947,11.0.0.38,0,32742,0.6468750000158252,5.595488256,0.2236659,0.9445806,926.0,5.53897688,0.236,0.02
3,1599272947,11.0.0.39,2,32247,0.4999999999927667,5.52859648,0.21727629999999998,0.9280809,870.0,5.490209352,0.167,0.011
4,1599273007,11.0.0.36,1,136731,0.7781249999606956,7.442092032,0.5396181999999999,2.3096139,1893.0,6.620878156,0.251,0.018
5,1599273007,11.0.0.37,3,32517,0.9078124999859938,5.5289282559999995,0.5394506,2.3311581,939.0,5.549003864,0.181,0.009
6,1599273007,11.0.0.38,0,138588,0.7843750000211145,6.971875327999999,0.5434768000000001,2.3385247999999996,1951.0,6.775094884,0.236,0.02
7,1599273007,11.0.0.39,2,137217,0.8031250000385768,7.676735488,0.5428896999999999,2.345835,1843.0,6.630493804,0.167,0.011
8,1599273067,11.0.0.36,1,327012,1.1671875000047578,13.11311872,0.8699711,3.7841415,3109.0,8.342579732,0.251,0.018
9,1599273067,11.0.0.37,3,138246,1.1640625000109281,7.744176128,0.843746,3.6817856,1928.0,6.743538844,0.181,0.009
10,1599273067,11.0.0.38,0,326709,1.1359374999938154,12.341174272,0.8384714,3.6589101,3087.0,8.57854708,0.236,0.02
11,1599273067,11.0.0.39,2,326892,1.164062500006338,13.247098880000001,0.8612396999999999,3.7509929,2978.0,8.454553804,0.167,0.011
12,1599273127,11.0.0.36,1,600129,1.4031249999698048,20.864978944,1.1543683999999999,5.0273149,4481.0,10.639476572,0.251,0.018
13,1599273127,11.0.0.37,3,327690,1.7296875000147196,13.448953856,1.1755248999999999,5.0949823,3098.0,8.504297156,0.181,0.009
14,1599273127,11.0.0.38,0,599787,1.3718749999816424,20.025991168,1.1674298,5.1030606,4495.0,10.99664644,0.236,0.02
15,1599273127,11.0.0.39,2,601161,1.3968750000094587,20.83125248,1.1679238,5.0843762,4319.0,10.835162496,0.167,0.011
16,1599273187,11.0.0.36,1,956247,2.5781250000363514,30.596419584,1.4814599,6.4098605,5915.0,13.786492383999999,0.251,0.018
17,1599273187,11.0.0.37,3,601803,2.6703125000267107,20.597227519999997,1.5033165,6.441357900000001,4509.0,10.97522936,0.364,0.02
18,1599273187,11.0.0.38,0,957195,2.871875000023465,29.824737279999997,1.4825605,6.418716900000001,5907.0,14.211939124,0.236,0.02
19,1599273187,11.0.0.39,2,959829,3.1796875000054428,26.43556352,1.5283746,6.4747986,5768.0,14.514658624,0.348,0.026
20,1599273247,11.0.0.36,1,1397250,3.3812499999749264,32.84502528,1.8310343,7.7838648,7423.0,18.876651724,0.605,0.026
21,1599273247,11.0.0.37,3,958614,2.279687500004016,20.597948415999998,1.8153583999999998,7.8480245,6001.0,14.574149192,0.364,0.02
22,1599273247,11.0.0.38,0,1397814,3.596875000007458,31.972614144,1.8245426,7.7502142,7493.0,19.47742246,0.6,0.029
23,1599273247,11.0.0.39,2,1403727,2.98125000001167,26.4358912,1.8390088999999998,7.844468200000001,7240.0,19.770352252,0.348,0.026
24,1599273307,11.0.0.36,1,1926822,3.734375000003638,32.845484032,2.187519,9.2990266,9194.0,24.446313424000003,0.605,0.026
25,1599273307,11.0.0.37,3,1397403,2.3390625000001535,26.335952896,2.1247842,9.1970679,7286.0,19.245624579999998,0.364,0.02
26,1599273307,11.0.0.38,0,1924030,3.9984374999721695,31.972876288000002,2.1805082999999996,9.2165152,9426.0,25.511545884,0.6,0.029
27,1599273307,11.0.0.39,2,1929285,2.3875000000043656,34.858446848,2.1316335,9.2119091,8806.0,24.480629888,0.348,0.026
28,1599273367,11.0.0.36,1,2539749,2.7468750000116273,43.415195648,2.4623283,10.6359865,11073.0,29.504741896,0.605,0.026
29,1599273367,11.0.0.37,3,1923747,3.9499999999998323,40.798109696000004,2.4693922,10.6806097,8952.0,23.748719236,0.364,0.02
30,1599273367,11.0.0.38,0,2538138,2.6484375000063807,42.60976230399999,2.4231108999999997,10.5300497,11337.0,30.714578596,0.6,0.029
31,1599273367,11.0.0.39,2,2539752,2.67500000000382,51.199782912,2.4346951,10.5089592,10649.0,29.35201202,0.348,0.026
32,1599273427,11.0.0.36,1,3238167,4.8156249999738066,60.729348096,2.8563665,12.1178352,13103.0,35.217968764,1.133,0.036
33,1599273427,11.0.0.37,3,2537673,3.781250000001819,57.37406464,2.8142844,12.120323,10883.0,28.568108236,0.364,0.02
34,1599273427,11.0.0.38,0,3233907,4.082812500009794,60.930482176,2.7858696000000003,11.940662699999999,13489.0,36.445336108,1.086,0.04
35,1599273427,11.0.0.39,2,3238110,3.1687499999998465,60.863459328,2.765857,11.961618099999999,12545.0,35.061999328,0.936,0.039
36,1599273487,11.0.0.36,1,4017348,4.17343750002145,60.729413632,3.0807071,13.2462395,14967.0,42.257576832,1.133,0.036
