,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599274807,11.0.0.52,UpdateGen,11979,0.7734374999745057,5.526544384,0.0673888,1.357672,240.0,0.55269856,0.118,0.009
2,1599274867,11.0.0.52,UpdateGen,74464,0.9765625000091092,5.527134208,0.09048189999999999,2.5031314,557.0,1.32737936,0.118,0.009
4,1599274927,11.0.0.52,UpdateGen,250484,1.4187500000298314,6.601531392,0.1288273,3.6505864,883.0,2.076249008,0.118,0.009
6,1599274987,11.0.0.52,UpdateGen,539687,2.156249999979991,10.59483648,0.2005633,4.7425747000000005,1203.0,2.862665448,0.118,0.009
8,1599275047,11.0.0.52,UpdateGen,940689,2.7796874999876593,17.47480576,0.2541054,5.9294833,1525.0,3.622037032,0.346,0.023
10,1599275107,11.0.0.52,UpdateGen,1455782,2.3015624999879947,17.475198975999998,0.2545405,7.0906968,1862.0,4.376156568,0.346,0.023
12,1599275167,11.0.0.52,UpdateGen,2082207,2.560937499974898,17.811464192,0.28671209999999997,8.1945674,2201.0,5.106026128,0.346,0.023
14,1599275227,11.0.0.52,UpdateGen,2821767,2.9296875,27.744034816,0.33900759999999996,9.447104,2526.0,5.808250992,0.346,0.023
16,1599275287,11.0.0.52,UpdateGen,3673999,4.449999999988023,40.897765376,0.4511556,10.503452800000002,2876.0,6.5156948,0.346,0.023
18,1599275347,11.0.0.52,UpdateGen,4638874,4.871874999980747,54.72219136,0.4888535,11.65961,3196.0,7.243323624,0.978,0.034
20,1599275407,11.0.0.52,UpdateGen,5716211,6.348437500037093,54.72219136,0.5532866,12.4922886,3533.0,7.938042648,0.978,0.034
22,1599275467,11.0.0.52,UpdateGen,6886550,3.939062500030559,54.722453504,0.457336,14.0191005,3921.0,8.664858032,0.978,0.034
24,1599275527,11.0.0.52,UpdateGen,8155715,3.9859375000105643,54.722519039999995,0.4991927,15.119615,4303.0,9.38951836,0.978,0.034
26,1599275587,11.0.0.52,UpdateGen,9574130,4.4187499999770665,60.594610175999996,0.5517055,16.0978757,4628.0,10.108729848,1.706,0.045
28,1599275647,11.0.0.52,UpdateGen,11094389,8.193750000027634,60.594741248,0.7351970999999999,16.4928515,4948.0,10.791778976,1.706,0.045
30,1599275707,11.0.0.52,UpdateGen,12697783,5.5171875000269495,60.594741248,0.6379355,18.4485787,5275.0,11.415300528,1.706,0.045
32,1599275767,11.0.0.52,UpdateGen,14419836,5.754687500084415,74.587004928,0.6711047,19.7425871,5614.0,12.11245564,1.706,0.045
34,1599275827,11.0.0.52,UpdateGen,16290653,7.2046874999887365,99.283132416,0.7996875999999999,20.630770899999998,5947.0,12.822817676,1.706,0.045
36,1599275887,11.0.0.52,UpdateGen,18247335,7.648437500010928,115.120955392,0.8280521999999999,21.627862399999998,6285.0,13.5025707,2.346,0.064
38,1599275947,11.0.0.52,UpdateGen,20293123,11.190625000053856,115.120955392,0.9041511,20.3901128,6623.0,14.174054676,2.346,0.064
40,1599276007,11.0.0.52,UpdateGen,22393008,6.396874999945766,115.121283072,0.7707957,24.1161233,7005.0,14.796205468,2.346,0.064
42,1599276067,11.0.0.52,UpdateGen,24643418,7.682812499979235,115.121414144,0.868418,25.3730805,7403.0,15.467549524,2.346,0.064
44,1599276127,11.0.0.52,UpdateGen,27072939,7.604687500042928,129.281384448,0.9742008000000001,26.7135043,7788.0,16.18656346,2.346,0.064
46,1599276187,11.0.0.52,UpdateGen,29623820,7.371875000026179,149.716099072,0.9275178000000001,27.7143492,8173.0,16.926923324,3.002,0.079
48,1599276247,11.0.0.52,UpdateGen,32288432,9.521875000009473,149.716099072,1.1646421,28.4760733,8526.0,17.642002708,3.002,0.079
50,1599276307,11.0.0.52,UpdateGen,35054356,8.40000000001055,149.716099072,1.0290055,29.8932225,8872.0,18.350210108,3.002,0.079
