,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599578767,11.0.0.52,UpdateGen,2194,0.6781250000494623,5.518671872,0.0360718,0.5829899000000001,63.0,0.092305296,0.15,0.012
3,1599578827,11.0.0.52,UpdateGen,25485,0.7562499999221757,5.526536192,0.0702545,1.355302,383.0,0.79829036,0.15,0.012
5,1599578887,11.0.0.52,UpdateGen,109564,0.9541579157253892,5.527453696,0.08958915891589159,2.120588258825882,714.0,1.43936908,0.15,0.012
7,1599578947,11.0.0.52,UpdateGen,268891,1.1710144201343269,7.3732096,0.10732335269377127,2.865556579210895,1056.0,2.146837936,0.15,0.012
9,1599579007,11.0.0.52,UpdateGen,504495,1.7417366734614177,10.863460351999999,0.16799819981998199,3.6336850685068502,1404.0,2.883147768,0.15,0.012
11,1599579067,11.0.0.52,UpdateGen,814266,2.3683618362520065,15.024668671999999,0.20794759475947594,4.405255625562556,1750.0,3.601615768,0.314,0.03
13,1599579127,11.0.0.52,UpdateGen,1200137,1.866749174864367,15.025061888,0.20795949594959495,5.1581043104310424,2095.0,4.35588256,0.314,0.03
15,1599579187,11.0.0.52,UpdateGen,1660549,2.0480173017913046,15.62943488,0.2333185318531853,5.927877187718772,2440.0,5.083933312,0.314,0.03
17,1599579247,11.0.0.52,UpdateGen,2194861,2.2261601159293747,22.911205375999998,0.2629301930193019,6.723027102710271,2774.0,5.780840976,0.314,0.03
19,1599579307,11.0.0.52,UpdateGen,2805855,2.580883088375046,31.132237824,0.2968126812681268,7.49615201520152,3095.0,6.495807072,0.314,0.03
21,1599579367,11.0.0.52,UpdateGen,3489964,3.6734374999105057,38.112149504,0.35686070000000003,8.2241951,3434.0,7.221339016,0.882,0.041
23,1599579427,11.0.0.52,UpdateGen,4250734,5.113948894858922,38.112149504,0.4305544554455445,8.929908390839083,3760.0,7.963763192,0.882,0.041
25,1599579487,11.0.0.52,UpdateGen,5081633,3.190319032009441,38.112149504,0.35276857685768576,9.718408740874088,4123.0,8.687389816,0.882,0.041
27,1599579547,11.0.0.52,UpdateGen,5988877,3.428124999973093,38.850347008,0.392864,10.598868900000001,4472.0,9.419715288,0.882,0.041
29,1599579607,11.0.0.52,UpdateGen,6976795,3.934029164993291,52.003684352,0.4431714942069516,11.292055533359967,4804.0,10.124699408,0.882,0.041
31,1599579667,11.0.0.52,UpdateGen,8037642,3.49503700372658,60.560195584,0.4411204120412041,12.0862699269927,5149.0,10.858080584,1.454,0.051
33,1599579727,11.0.0.52,UpdateGen,9170713,3.549151696513121,60.560195584,0.4582297405189621,12.763611976047905,5490.0,11.518230344,1.454,0.051
35,1599579787,11.0.0.52,UpdateGen,10377359,3.980062118026453,60.56026112,0.4876593527702635,13.587592125037572,5829.0,12.192800944,1.454,0.051
37,1599579847,11.0.0.52,UpdateGen,11662530,4.424817481748903,60.560326656,0.5419082908290829,14.309817781778177,6169.0,12.886528584,1.454,0.051
39,1599579907,11.0.0.52,UpdateGen,13022678,4.25312499997743,75.055906816,0.5405945999999999,14.9808215,6507.0,13.566411472,1.454,0.051
41,1599579967,11.0.0.52,UpdateGen,14453237,4.874999999883585,86.46447923199999,0.5958327,15.7433636,6831.0,14.321280632,2.022,0.068
43,1599580027,11.0.0.52,UpdateGen,15956024,4.86378525708777,86.464806912,0.6188018603720744,16.60917393478696,7174.0,15.067909984,2.022,0.068
45,1599580087,11.0.0.52,UpdateGen,17479740,4.910446642604455,86.46506905599999,0.6291576738609113,17.32289398481215,7529.0,15.77963356,2.022,0.068
47,1599580147,11.0.0.52,UpdateGen,19135413,5.673437499972394,86.46520012799999,0.7219306999999999,18.0459226,7859.0,16.53710532,2.022,0.068
49,1599580207,11.0.0.52,UpdateGen,20868082,5.446794679492669,95.89399552,0.7057431743174317,18.759164016401638,8203.0,17.257795488,2.022,0.068
51,1599580267,11.0.0.52,UpdateGen,22668983,5.34365936597446,109.8190848,0.7189404940494049,19.572432743274327,8543.0,18.020467712,2.586,0.083
