,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1598970720,11.0.0.14,0,0,1.956249999991556,5.5164313599999995,2.1862621,9.2450688,270.0,7.81588224,0.154,0.011
1,1598970780,11.0.0.14,0,453360,2.370312499997439,14.75569664,2.6034292999999997,11.052112,1863.0,11.185460148,0.154,0.011
2,1598970840,11.0.0.14,0,1111344,2.74062499999674,32.305319936,3.0462894,12.9644265,3973.0,15.993863372,0.154,0.011
3,1598970900,11.0.0.14,0,1886208,5.8359374999941025,52.908593152,3.532364,14.9734541,6132.0,21.44127634,0.154,0.011
4,1598970960,11.0.0.14,0,2774214,5.085937499989086,61.231271936000006,3.9621132,16.6441913,8736.0,29.184084556,0.365,0.023
5,1598971020,11.0.0.14,0,3774126,4.514062499995347,61.231599616000004,4.378791400000001,18.4678256,11641.0,38.439004232,0.365,0.023
6,1598971080,11.0.0.14,0,4887613,4.760937499993361,61.265154048,4.7861053,20.2814373,14059.0,47.937093856,1.125,0.036
7,1598971140,11.0.0.14,0,6116496,5.564062500013719,61.265481728,5.213967599999999,22.11676,16561.0,57.493952019999995,1.125,0.036
8,1598971200,11.0.0.14,0,7452192,5.9062500000004405,61.2656128,5.6548333,23.9006855,19122.0,67.688776936,1.653,0.048
9,1598971260,11.0.0.14,0,8904738,5.365624999990374,64.28557721600001,6.1025064,25.913705399999998,21601.0,77.956254772,1.653,0.048
10,1598971320,11.0.0.14,0,10473132,5.629687500004366,104.81952768,6.5257679,27.721516100000002,23839.0,88.248924964,1.653,0.048
11,1598971380,11.0.0.14,0,12157644,5.987500000001091,148.37324595200002,7.0177987,29.7117094,25978.0,99.16046906400001,1.653,0.048
12,1598971440,11.0.0.14,0,13954878,5.135937500008353,195.013971968,7.399043900000001,31.6697178,28239.0,110.77310276,1.653,0.048
13,1598971500,11.0.0.14,0,15870582,5.34531250001011,202.83222016,7.762915,33.3247079,30976.0,123.221417704,2.533,0.074
14,1598971560,11.0.0.14,0,17897680,5.621874999987995,202.83222016,8.2385422,35.038423,34089.0,135.644902292,2.533,0.074
15,1598971620,11.0.0.14,0,20032674,8.409374999998818,202.832416768,8.6337428,37.1021189,37412.0,148.168109984,2.533,0.074
16,1598971680,11.0.0.14,0,22273560,6.3218750000123975,203.268624384,8.9902362,38.7696044,40570.0,161.102254096,3.717,0.087
17,1598971740,11.0.0.14,0,24635942,6.954687500006003,203.268624384,9.501781699999999,40.478003799999996,43433.0,175.796708024,3.717,0.087
18,1598971800,11.0.0.14,0,27109092,8.45312499999406,203.269214208,9.9656887,42.4531117,46551.0,190.625513408,3.717,0.087
19,1598971860,11.0.0.14,0,29683224,7.496875000010732,203.370008576,10.430031900000001,44.4794479,49309.0,207.76899467200002,4.645,0.101
20,1598971920,11.0.0.14,0,32378766,7.8578124999989996,203.370205184,10.8381484,46.0794681,52015.0,223.975627288,4.645,0.101
21,1598971980,11.0.0.14,0,35186475,7.6859374999958305,203.37046732800002,11.300674800000001,48.187808700000005,55033.0,241.72093113999998,4.645,0.101
22,1598972040,11.0.0.14,0,38119203,7.85625000000438,203.43770726399998,11.7715894,50.3466439,58323.0,258.721393776,5.477,0.112
23,1598972100,11.0.0.14,0,41178375,8.235937499996453,203.437903872,12.0718386,51.9325955,61329.0,276.29023452,5.477,0.112
24,1598972160,11.0.0.14,0,44346405,9.237499999992451,203.437969408,12.2355005,36.8282873,64490.0,293.814009144,5.477,0.112
25,1598972220,11.0.0.14,0,47574957,8.692187500016658,203.47152384,13.051773800000001,55.8771855,67641.0,312.315718704,6.237,0.124
26,1598972280,11.0.0.14,0,51020541,9.279687499995376,203.471654912,13.431222,57.1325566,71295.0,331.59347192800004,6.237,0.124
27,1598972340,11.0.0.14,0,54508269,11.295312499996697,203.404742656,13.9961923,67.2215474,74709.0,351.51172879999996,7.021,0.154
28,1598972400,11.0.0.14,0,58096470,9.848437500002106,203.404742656,14.2615237,60.5938318,77560.0,374.41877980000004,7.021,0.154
29,1598972460,11.0.0.14,0,61787907,10.45937499999809,203.43829708799998,15.0346156,74.7081616,80405.0,400.069457768,7.745,0.167
