,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1598970720,11.0.0.7,UpdateGen,0,0.4906249999953616,5.515452416,0.05527,1.9036616000000002,20.0,0.035835904,0.172,0.012
3,1598970780,11.0.0.7,UpdateGen,151060,0.6531250000079893,5.526528,0.07844330000000001,2.2861681000000003,284.0,0.5452854,0.172,0.012
5,1598970840,11.0.0.7,UpdateGen,370400,0.6515624999997272,7.540514816,0.0785073,2.6782508,604.0,1.13496982,0.172,0.012
7,1598970900,11.0.0.7,UpdateGen,628694,0.710937500000469,11.164721152,0.0722717,3.0484191000000003,926.0,1.754906252,0.172,0.012
9,1598970960,11.0.0.7,UpdateGen,924702,0.8515625000063949,15.124471808,0.1039183,3.4214865,1246.0,2.3608999,0.172,0.012
11,1598971020,11.0.0.7,UpdateGen,1257934,1.109375000005457,20.292575232,0.13303189999999998,3.8178104,1580.0,2.959176372,0.347,0.026
13,1598971080,11.0.0.7,UpdateGen,1629164,1.3390625000010914,20.293099520000002,0.1482715,4.1610622,1910.0,3.634428588,0.347,0.026
15,1598971140,11.0.0.7,UpdateGen,2038788,1.192187499998468,20.293558272000002,0.149092,4.6002130999999995,2244.0,4.336967052,0.347,0.026
17,1598971200,11.0.0.7,UpdateGen,2483992,0.9906249999971664,20.29375488,0.123429,4.9407966,2576.0,5.031402284,0.347,0.026
19,1598971260,11.0.0.7,UpdateGen,2968194,1.4046875000076255,25.629237248,0.1940887,5.3149142000000005,2895.0,5.714508872,0.347,0.026
21,1598971320,11.0.0.7,UpdateGen,3490978,1.2734375000082139,31.837134848,0.203804,5.7378813,3225.0,6.3954666,0.903,0.036
23,1598971380,11.0.0.7,UpdateGen,4052508,1.1171874999990905,31.837462528,0.20003189999999998,6.1357859,3540.0,7.054751904,0.903,0.036
25,1598971440,11.0.0.7,UpdateGen,4651594,1.407812499992346,31.837790208,0.2409221,6.5424845,3852.0,7.706629912,0.903,0.036
27,1598971500,11.0.0.7,UpdateGen,5290160,1.3031249999903736,31.837790208,0.24053970000000002,6.8710667999999995,4176.0,8.407022808,0.903,0.036
29,1598971560,11.0.0.7,UpdateGen,5965832,1.3124999999991047,34.522144768,0.2390409,7.2323484,4503.0,9.0791582,0.903,0.036
31,1598971620,11.0.0.7,UpdateGen,6677536,1.3203124999904503,42.709426175999994,0.250869,7.6362424,4828.0,9.784250288,1.373,0.047
33,1598971680,11.0.0.7,UpdateGen,7424480,1.771874999985826,42.709426175999994,0.3037815,7.9632118,5164.0,10.470947552,1.373,0.047
35,1598971740,11.0.0.7,UpdateGen,8211950,1.8359375000022737,42.709426175999994,0.3227602,8.2933711,5497.0,11.185305424,1.373,0.047
37,1598971800,11.0.0.7,UpdateGen,9036320,1.7640625000080945,42.709557247999996,0.3219944,8.7293643,5836.0,11.860834464,1.373,0.047
39,1598971860,11.0.0.7,UpdateGen,9894362,1.9906250000008043,44.186017792,0.3355992,9.0615936,6177.0,12.546709496,1.373,0.047
41,1598971920,11.0.0.7,UpdateGen,10792892,2.223437500006213,54.722174976,0.3399003,9.4811971,6512.0,13.209127872,1.865,0.067
43,1598971980,11.0.0.7,UpdateGen,11728825,1.5125000000057014,54.722502655999996,0.3233681,9.916177,6861.0,13.804903456,1.865,0.067
45,1598972040,11.0.0.7,UpdateGen,12706385,1.5812500000015604,54.722633728,0.3426653,10.321590800000001,7189.0,14.444294296,1.865,0.067
47,1598972100,11.0.0.7,UpdateGen,13726125,1.6374999999879947,54.722699264,0.3712915,10.5731489,7512.0,15.159332176,1.865,0.067
49,1598972160,11.0.0.7,UpdateGen,14782135,1.7031249999990905,54.7227648,0.37761870000000003,11.1145919,7837.0,15.882066792,1.865,0.067
51,1598972220,11.0.0.7,UpdateGen,15875211,1.7624999999838735,66.16489164800001,0.40425859999999997,11.454119,8161.0,16.619405256,2.243,0.079
53,1598972280,11.0.0.7,UpdateGen,17006847,2.0718749999969077,66.16489164800001,0.41689529999999997,11.7200081,8481.0,17.343178168,2.243,0.079
55,1598972340,11.0.0.7,UpdateGen,18169423,4.582812500000273,66.16502272000001,0.588402,12.012995199999999,8811.0,18.06068224,2.243,0.079
57,1598972400,11.0.0.7,UpdateGen,19365513,3.8312499999960608,66.16502272000001,0.5423182,12.457307199999999,9159.0,18.776537648,2.243,0.079
59,1598972460,11.0.0.7,UpdateGen,20595969,2.7734374999863576,66.165088256,0.40189509999999995,12.8763754,9528.0,19.51135596,2.243,0.079
61,1598972520,11.0.0.7,UpdateGen,21870597,1.8890624999903594,76.231417856,0.4289325,13.359379,9855.0,20.225969608,2.615,0.09
63,1598972580,11.0.0.7,UpdateGen,23187495,2.0421875000056247,76.231417856,0.4515709,13.8108084,10179.0,20.89840372,2.615,0.09
65,1598972640,11.0.0.7,UpdateGen,24553731,2.0468750000031832,76.231417856,0.4985283,14.1104971,10502.0,21.653581304,2.615,0.09
67,1598972700,11.0.0.7,UpdateGen,25948887,4.456249999986994,76.231417856,0.5992144,14.1282546,10824.0,22.336273344,2.615,0.09
69,1598972760,11.0.0.7,UpdateGen,27357929,3.4921874999986358,76.231417856,0.5272513000000001,14.7490433,11174.0,23.021290344,2.615,0.09
71,1598972820,11.0.0.7,UpdateGen,28821421,2.481250000007549,87.270825984,0.474925,15.163970599999999,11506.0,23.70074304,3.053,0.1
73,1598972880,11.0.0.7,UpdateGen,30327243,2.2921874999951655,87.270825984,0.5108206,15.6176257,11832.0,24.337028648,3.053,0.1
75,1598972940,11.0.0.7,UpdateGen,31872570,2.301562499999335,87.270825984,0.5530183000000001,15.909278,12158.0,25.085838136,3.053,0.1
77,1598973000,11.0.0.7,UpdateGen,33456554,2.292187500002001,87.270825984,0.4671031,16.3222107,12480.0,25.862634664,3.053,0.1
79,1598973060,11.0.0.7,UpdateGen,35075442,3.3046874999877076,87.270825984,0.5599985,16.7832202,12804.0,26.617961224,3.053,0.1
81,1598973120,11.0.0.7,UpdateGen,36734397,2.557812499992451,98.813550592,0.47853029999999996,17.2195621,13145.0,27.365700344,3.423,0.112
83,1598973180,11.0.0.7,UpdateGen,38437092,2.8187500000035612,98.813550592,0.5169354,17.462257100000002,13470.0,28.066908256,3.423,0.112
85,1598973240,11.0.0.7,UpdateGen,40174590,2.548437500011019,98.813812736,0.5107678,17.7803067,13801.0,28.796446256,3.423,0.112
87,1598973300,11.0.0.7,UpdateGen,41939044,2.717187500013523,98.813812736,0.4914952,17.8633185,14139.0,29.4851572,3.423,0.112
89,1598973360,11.0.0.7,UpdateGen,43731820,3.7421874999995453,98.813943808,0.6373905,18.6350665,14469.0,30.170572552,3.423,0.112
91,1598973420,11.0.0.7,UpdateGen,45576646,2.757812499996831,109.9876352,0.692394,19.089912899999998,14795.0,30.857017112,3.855,0.133
93,1598973480,11.0.0.7,UpdateGen,47468040,2.6624999999944663,109.9876352,0.4743225,19.0214517,15121.0,31.577480344,3.855,0.133
95,1598973540,11.0.0.7,UpdateGen,49376868,3.240624999998559,109.9876352,0.5721915,19.6972761,15461.0,32.294486032,3.855,0.133
97,1598973600,11.0.0.7,UpdateGen,51303720,2.9015625000079126,109.9876352,0.5813896,20.154916800000002,15815.0,33.001056456,3.855,0.133
99,1598973660,11.0.0.7,UpdateGen,53281314,4.09531250000326,109.9876352,0.635393,20.4052904,16166.0,33.732417464,3.855,0.133
101,1598973720,11.0.0.7,UpdateGen,55309334,2.9374999999936335,120.792162304,0.6506344000000001,20.7908453,16502.0,34.449404648,4.309,0.145
103,1598973780,11.0.0.7,UpdateGen,57368126,20.306249999987386,120.792162304,0.2934035,15.838738699999999,16834.0,35.182800744,4.309,0.145
105,1598973840,11.0.0.7,UpdateGen,59462984,29.299999999998363,120.79222784,0.7437246,20.355703600000002,17178.0,36.445154824,4.309,0.145
107,1598973900,11.0.0.7,UpdateGen,61501603,4.506250000001714,120.792358912,0.7781106,19.1186241,17549.0,39.359980392,4.309,0.145
109,1598973960,11.0.0.7,UpdateGen,63362701,5.076562499998545,120.792358912,0.7631937,22.1341094,17936.0,40.389748544,4.309,0.145
111,1598974020,11.0.0.7,UpdateGen,65495739,3.1406249999849933,127.90589849599999,0.7123281,22.7268163,18308.0,41.103727488,4.803,0.158
113,1598974080,11.0.0.7,UpdateGen,67742835,3.3640625000066535,127.90589849599999,0.699722,23.000860199999998,18658.0,41.805810592,4.803,0.158
115,1598974140,11.0.0.7,UpdateGen,70035355,3.425000000008822,127.90589849599999,0.6912281,23.5359926,18999.0,42.505790336,4.803,0.158
117,1598974200,11.0.0.7,UpdateGen,72372870,3.370312499998846,127.90589849599999,0.6647836,24.046939300000002,19334.0,43.258749152,4.803,0.158
119,1598974260,11.0.0.7,UpdateGen,74740838,4.701562500008535,127.90589849599999,0.8668131,24.2931601,19670.0,43.977866304,4.803,0.158
121,1598974320,11.0.0.7,UpdateGen,77148020,3.795312500005835,143.34093721600001,0.7701428,24.5393918,19999.0,44.719716656,5.233,0.172
123,1598974380,11.0.0.7,UpdateGen,79580072,4.276562499999258,143.34093721600001,0.8152782,24.369945100000002,20326.0,45.421875888,5.233,0.172
125,1598974440,11.0.0.7,UpdateGen,82034588,4.3499999999994685,143.341002752,0.8021825,25.0606051,20650.0,46.09291384,5.233,0.172
127,1598974500,11.0.0.7,UpdateGen,84520391,3.4375000000022595,143.341002752,0.7114523,25.8013105,20989.0,46.7338158,5.233,0.172
129,1598974560,11.0.0.7,UpdateGen,87084715,5.067187499996621,143.341068288,0.8067944,26.2713031,21320.0,47.393687816,5.233,0.172
