,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1598980387,11.0.0.62,UpdateGen,341700,1.3843749999910102,7.439167488,0.1559617,3.7863015,501.0,0.880333192,0.068,0.008
3,1598980447,11.0.0.62,UpdateGen,968400,2.4859375000051216,15.828365311999999,0.3123437,7.572789599999999,824.0,1.535777504,0.068,0.008
5,1598980507,11.0.0.62,UpdateGen,1969660,3.684374999986616,30.290784256,0.4789494,11.311363400000001,1155.0,2.206994368,0.068,0.008
7,1598980567,11.0.0.62,UpdateGen,3300560,7.040625000008703,40.895500288,0.6363112,14.2995678,1510.0,2.918439784,0.276,0.024
9,1598980627,11.0.0.62,UpdateGen,4951127,9.64062499999045,40.896221184000005,0.7795239,17.1015344,1879.0,3.51398804,0.276,0.024
11,1598980687,11.0.0.62,UpdateGen,7025360,8.299999999999287,61.297905664,0.9611531999999999,22.2264502,2234.0,4.165396368,1.34,0.035
13,1598980747,11.0.0.62,UpdateGen,9513600,8.246875000006654,61.297905664,1.0755864,26.1633761,2579.0,4.835016712,1.34,0.035
15,1598980807,11.0.0.62,UpdateGen,12303663,9.196580341982155,61.297905664,1.2254425557444257,29.842200179982004,2928.0,5.45383468,2.072,0.045
17,1598980867,11.0.0.62,UpdateGen,15534033,9.31562499999474,61.297905664,1.3359611,33.860665700000006,3268.0,6.111632504,2.072,0.045
19,1598980927,11.0.0.62,UpdateGen,19162043,10.92689197284409,101.496508416,1.5159879193290735,37.76185822683706,3625.0,6.796689192,2.072,0.045
21,1598980987,11.0.0.62,UpdateGen,23174615,12.24531249999471,153.606606848,1.697661,41.6740689,3988.0,7.458108056,2.072,0.045
23,1598981047,11.0.0.62,UpdateGen,27572735,12.021874999998104,202.596143104,1.8702335,45.4380547,4353.0,8.044170936,2.492,0.059
25,1598981107,11.0.0.62,UpdateGen,32324176,13.551562500006199,202.59627417599998,2.0272853,49.2881365,4714.0,8.5863344,2.492,0.059
27,1598981167,11.0.0.62,UpdateGen,37468036,14.024999999996922,202.596339712,2.2279413999999997,53.1316061,5053.0,9.169826616,2.492,0.059
