,time,metric.instance,metric.ID,metric.actor,Raphtory_Router_Updates_total,Raphtory_Intra_Worker_Updates_total,Raphtory_Inter_Worker_Updates_total,Raphtory_Vertex_Count_total,Raphtory_Local_Edge_Count_total,Raphtory_Master_Split_Edge_Count_total,Raphtory_Copy_Split_Edge_Count_total,Raphtory_Earliest_Time,Raphtory_Latest_Time,Raphtory_Safe_Time,Raphtory_Synchronised_Updates_total,Update_Arrival_Time,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1598992687,11.0.0.252,0,PartitionWriter_0,54756,15110,0,5639,13872,0,0,9000000,9002018,0,54777,3481234507.39432,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
1,1598992687,11.0.0.252,1,PartitionWriter_0,57143,15542,0,5649,13932,0,0,9000000,9002018,0,57160,3532989568.6653585,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
2,1598992687,11.0.0.252,2,PartitionWriter_0,57278,19252,0,5671,13789,0,0,9000000,9002018,0,57293,3419612056.6293654,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
3,1598992687,11.0.0.252,3,PartitionWriter_0,65853,17165,0,5582,16340,0,0,9000000,9002018,0,65878,3497330512.4600515,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
4,1598992687,11.0.0.252,4,PartitionWriter_0,40066,16869,0,5581,7667,0,0,9000000,9002018,0,40076,3529735156.754661,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
5,1598992687,11.0.0.252,5,PartitionWriter_0,48793,19700,0,5578,9703,0,0,9000000,9002018,0,48832,3537398694.131763,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
6,1598992687,11.0.0.252,6,PartitionWriter_0,57350,13691,0,5556,14219,0,0,9000000,9002018,0,57373,3555732536.548694,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
7,1598992687,11.0.0.252,7,PartitionWriter_0,56475,14503,0,5663,13189,0,0,9000000,9002018,0,56494,3490390073.613223,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
8,1598992687,11.0.0.252,8,PartitionWriter_0,57589,15411,0,5571,14406,0,0,9000000,9002018,0,57603,3475386477.8740854,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
9,1598992687,11.0.0.252,9,PartitionWriter_0,51987,17627,0,5652,12109,0,0,9000000,9002018,0,52014,3545427971.9167614,6.103124999972337,23.349014527999998,9.2338544,0.177822,5941.0,73.35613992,0.832,0.026
10,1598992747,11.0.0.252,0,PartitionWriter_0,138685,38703,0,12491,32631,0,0,9000000,9003701,0,138717,3375310872.5949397,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
11,1598992747,11.0.0.252,1,PartitionWriter_0,143430,43612,0,12801,30770,0,0,9000000,9003701,0,143451,3428055543.185463,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
12,1598992747,11.0.0.252,2,PartitionWriter_0,145997,43162,0,12555,34757,0,0,9000000,9003701,0,146047,3436007456.8980293,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
13,1598992747,11.0.0.252,3,PartitionWriter_0,159106,39968,0,12508,37148,0,0,9000000,9003701,0,159139,3385981680.7015586,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
14,1598992747,11.0.0.252,4,PartitionWriter_0,97659,41288,0,12444,17340,0,0,9000000,9003701,0,97681,3393171757.2185564,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
15,1598992747,11.0.0.252,5,PartitionWriter_0,116927,45266,0,12618,22209,0,0,9000000,9003701,0,116945,3425381340.769966,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
16,1598992747,11.0.0.252,6,PartitionWriter_0,140770,34887,0,12486,32180,0,0,9000000,9003701,0,140802,3453326541.690169,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
17,1598992747,11.0.0.252,7,PartitionWriter_0,134503,37227,0,12576,28547,0,0,9000000,9003701,0,134519,3450880882.824591,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
18,1598992747,11.0.0.252,8,PartitionWriter_0,143848,39163,0,12580,33360,0,0,9000000,9003701,0,143877,3442831644.6655865,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
19,1598992747,11.0.0.252,9,PartitionWriter_0,136084,45649,0,12707,29647,0,0,9000000,9003701,0,136118,3501274434.0968533,11.737499999981083,33.751871488,14.841754199999999,0.2424001,10483.0,111.019680796,4.272,0.037
20,1598992807,11.0.0.252,0,PartitionWriter_0,255738,72014,0,20831,55390,0,0,9000000,9007151,0,255749,3368748261.7332587,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
21,1598992807,11.0.0.252,1,PartitionWriter_0,261347,75986,0,21249,52929,0,0,9000000,9007151,0,261360,3406869342.0654273,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
22,1598992807,11.0.0.252,2,PartitionWriter_0,267576,80564,0,21088,58469,0,0,9000000,9007151,0,267595,3417783387.0768867,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
23,1598992807,11.0.0.252,3,PartitionWriter_0,301681,80222,0,21090,63542,0,0,9000000,9007151,0,301698,3409320020.3388524,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
24,1598992807,11.0.0.252,4,PartitionWriter_0,177711,73453,0,20991,29679,0,0,9000000,9007151,0,177720,3382539626.852535,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
25,1598992807,11.0.0.252,5,PartitionWriter_0,213958,81558,0,21242,37941,0,0,9000000,9007151,0,213964,3421004406.8113093,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
26,1598992807,11.0.0.252,6,PartitionWriter_0,261423,64754,0,21048,55217,0,0,9000000,9007151,0,261430,3431464121.139469,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
27,1598992807,11.0.0.252,7,PartitionWriter_0,251311,69418,0,21083,49182,0,0,9000000,9007151,0,251319,3410475688.535358,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
28,1598992807,11.0.0.252,8,PartitionWriter_0,267478,74369,0,21139,56805,0,0,9000000,9007151,0,267489,3408890500.672912,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
29,1598992807,11.0.0.252,9,PartitionWriter_0,246373,81415,0,21280,50017,0,0,9000000,9007151,0,246390,3462357207.332963,12.075000000004366,40.229515264,20.2376508,0.33521490000000004,15954.0,156.80438344,6.2,0.048
30,1598992867,11.0.0.252,0,PartitionWriter_0,409812,115317,0,30159,84324,0,0,9000000,9010699,0,409835,3437525486.835373,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
31,1598992867,11.0.0.252,1,PartitionWriter_0,422539,128631,0,30596,79401,0,0,9000000,9010699,0,422557,3464290405.1038914,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
32,1598992867,11.0.0.252,2,PartitionWriter_0,431424,125652,0,30534,90911,0,0,9000000,9010699,0,431437,3466696960.5239096,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
33,1598992867,11.0.0.252,3,PartitionWriter_0,473041,122234,0,30509,95985,0,0,9000000,9010699,0,473060,3456566925.0278134,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
34,1598992867,11.0.0.252,4,PartitionWriter_0,279869,114609,0,30484,44910,0,0,9000000,9010699,0,279882,3452974125.470209,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
35,1598992867,11.0.0.252,5,PartitionWriter_0,336418,126158,0,30631,57491,0,0,9000000,9010699,0,336434,3476195565.4757824,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
36,1598992867,11.0.0.252,6,PartitionWriter_0,417645,105696,0,30412,83531,0,0,9000000,9010699,0,417656,3475413257.5489297,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
37,1598992867,11.0.0.252,7,PartitionWriter_0,392331,109393,0,30589,72827,0,0,9000000,9010699,0,392351,3460686991.6035748,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
38,1598992867,11.0.0.252,8,PartitionWriter_0,424634,116722,0,30463,86292,0,0,9000000,9010699,0,424653,3451537895.3284883,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
39,1598992867,11.0.0.252,9,PartitionWriter_0,405179,136658,0,30592,77300,0,0,9000000,9010699,0,405195,3485902408.550109,14.806250000028726,92.038672384,25.743786399999998,0.4382548,20693.0,198.71716410800005,6.2,0.048
40,1598992927,11.0.0.252,0,PartitionWriter_0,601368,173409,0,40812,116532,0,0,9000000,9015964,0,601387,3237977129.092291,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
41,1598992927,11.0.0.252,1,PartitionWriter_0,617307,189613,0,40984,109581,0,0,9000000,9015964,0,617322,3259125772.232479,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
42,1598992927,11.0.0.252,2,PartitionWriter_0,627937,181783,0,40943,126217,0,0,9000000,9015964,0,627951,3246900403.053614,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
43,1598992927,11.0.0.252,3,PartitionWriter_0,684691,173320,0,40867,133442,0,0,9000000,9015964,0,684713,3261907430.312366,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
44,1598992927,11.0.0.252,4,PartitionWriter_0,406970,165455,0,41105,62637,0,0,9000000,9015964,0,406978,3283502497.7934046,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
45,1598992927,11.0.0.252,5,PartitionWriter_0,484889,178640,0,41198,79934,0,0,9000000,9015964,0,484903,3272277707.378446,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
46,1598992927,11.0.0.252,6,PartitionWriter_0,609282,153513,0,40890,116164,0,0,9000000,9015964,0,609298,3252046300.9492145,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
47,1598992927,11.0.0.252,7,PartitionWriter_0,569870,157184,0,41128,101064,0,0,9000000,9015964,0,569885,3200929729.616015,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
48,1598992927,11.0.0.252,8,PartitionWriter_0,621284,172324,0,40852,119852,0,0,9000000,9015964,0,621301,3252311093.74158,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
49,1598992927,11.0.0.252,9,PartitionWriter_0,596489,205209,0,41201,107398,0,0,9000000,9015964,0,596506,3291058627.8238974,17.8187500000422,109.689155584,31.2877023,0.6749478000000001,26218.0,256.48029188,13.304,0.076
50,1598992987,11.0.0.252,0,PartitionWriter_0,831323,244067,0,53757,154703,0,0,9000000,9022032,0,831350,3242350020.920728,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
51,1598992987,11.0.0.252,1,PartitionWriter_0,844313,259179,0,53847,145263,0,0,9000000,9022032,0,844334,3271342700.1752214,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
52,1598992987,11.0.0.252,2,PartitionWriter_0,861017,248741,0,53965,168159,0,0,9000000,9022032,0,861072,3254616638.141955,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
53,1598992987,11.0.0.252,3,PartitionWriter_0,944135,242598,0,53895,177464,0,0,9000000,9022032,0,944157,3273428998.6994953,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
54,1598992987,11.0.0.252,4,PartitionWriter_0,555940,225137,0,54154,83180,0,0,9000000,9022032,0,555961,3268815196.156061,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
55,1598992987,11.0.0.252,5,PartitionWriter_0,660320,240684,0,54157,106444,0,0,9000000,9022032,0,660334,3284460979.195639,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
56,1598992987,11.0.0.252,6,PartitionWriter_0,835436,210568,0,53691,154406,0,0,9000000,9022032,0,835461,3261545396.6071153,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
57,1598992987,11.0.0.252,7,PartitionWriter_0,780027,214490,0,54027,134430,0,0,9000000,9022032,0,780044,3229080273.751665,20.584375000025844,111.33351936,36.5884654,0.895232,31867.0,313.99944028000004,17.848,0.095
