,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599007267,11.0.0.66,0,0,0.3640624999991502,5.52003584,0.0062149,0.0111119,35.0,0.013770944,0.073,0.009
1,1599007267,11.0.0.67,3,0,0.3468750000001819,5.5200153599999995,0.005557,0.0109847,30.0,0.014088896,0.145,0.009
2,1599007267,11.0.0.69,1,0,0.3390624999974392,5.519728639999999,0.005873199999999999,0.015282,33.0,0.012794752,0.094,0.009
3,1599007327,11.0.0.66,0,119655,0.7546874999962654,6.50205184,0.522336,2.3663632000000003,930.0,1.322591036,0.073,0.009
4,1599007327,11.0.0.67,3,119019,0.701562500021268,6.267006976,0.5069757,2.306556,940.0,1.588062924,0.145,0.009
5,1599007327,11.0.0.68,2,0,0.7609375000010061,5.519785983999999,0.5177653,2.3435278999999998,30.0,0.01482816,0.148,0.009
6,1599007327,11.0.0.69,1,120144,0.7984375000006736,5.596270592000001,0.5234636,2.330439,993.0,1.468516948,0.29,0.023
7,1599007387,11.0.0.66,0,295338,1.0015624999999915,12.207157248,0.727625,3.2591899,2055.0,3.113347036,0.236,0.027
8,1599007387,11.0.0.67,3,294936,1.092187499987162,9.254006784000001,0.7180818,3.229296,2125.0,3.524131604,0.276,0.02
9,1599007387,11.0.0.68,2,119178,0.9781250000037431,6.3676252159999995,0.7046479,3.2187593,885.0,1.298016108,0.148,0.009
10,1599007387,11.0.0.69,1,295263,0.9718750000036067,10.797862912,0.722201,3.228923,2186.0,3.195561916,0.29,0.023
11,1599007447,11.0.0.66,0,525846,1.3906250000007816,12.207747072,0.9309993000000001,4.1977405,3460.0,5.651525112,0.236,0.027
12,1599007447,11.0.0.67,3,528249,1.062499999989086,12.509310976,0.9043215,4.1941851,3677.0,6.181038264,0.276,0.02
13,1599007447,11.0.0.68,2,295245,1.5781250000008953,11.401445376,0.9239515,4.2119363,1998.0,3.0547650120000003,0.148,0.009
14,1599007447,11.0.0.69,1,528333,1.1312499999985022,17.408479232,0.9192465,4.1514854,3396.0,5.20603402,0.29,0.023
15,1599007507,11.0.0.66,0,814974,1.2484374999996817,17.912459264,1.1005102,5.1259512,4923.0,8.25899052,0.236,0.027
16,1599007507,11.0.0.67,3,818031,1.21093750001819,20.56329216,1.0819586,5.0963115,5219.0,8.684486284,0.276,0.02
17,1599007507,11.0.0.68,2,527520,1.2750000000034163,18.045681664,1.1131468,5.1569732,3191.0,5.0770076159999995,0.148,0.009
18,1599007507,11.0.0.69,1,816312,1.206250000000182,25.495949312,1.0977451,5.024265,4589.0,7.464497344,0.29,0.023
19,1599007567,11.0.0.66,0,1160622,1.4562499999999545,27.643506688,1.3009086,6.343828,6349.0,11.019567144,0.236,0.027
20,1599007567,11.0.0.67,3,1162104,1.4421875000084583,30.294929407999998,1.2989671999999999,6.030764,6616.0,11.469074712,0.276,0.02
21,1599007567,11.0.0.68,2,817629,1.8546874999970413,26.301120512,1.3015577,4.1819717,4467.0,7.499594644,0.148,0.009
22,1599007567,11.0.0.69,1,1162248,1.2796874999992411,35.127119872,1.267612,2.6077687999999997,5914.0,10.217357483999999,0.29,0.023
23,1599007627,11.0.0.66,0,1561113,1.8156249999975955,38.683439104,1.5138138,6.9254348,7606.0,14.730649095999999,0.236,0.027
24,1599007627,11.0.0.67,3,1558983,1.7156250000129774,41.368154112000006,1.4640693999999999,6.718287,7916.0,15.180409452000001,0.276,0.02
25,1599007627,11.0.0.68,2,1164336,2.601562499998522,34.053046272,1.5368568,7.6857263,5845.0,10.492719568,0.317,0.02
26,1599007627,11.0.0.69,1,1561458,2.460937499999986,38.81863168,1.5609732,6.9222169000000005,7432.0,14.505505504,0.654,0.033
27,1599007687,11.0.0.66,0,2016972,2.9515625000004917,50.126483456,1.7686932,10.0948068,9032.0,19.341157576,0.756,0.039
28,1599007687,11.0.0.67,3,2014578,2.7734375000045333,46.838181888,1.7375337,11.4374215,9421.0,20.16004306,0.758,0.032
29,1599007687,11.0.0.68,2,1563441,2.5765624999968395,34.053308416,1.7525077,7.8883817,7435.0,15.161433232,0.317,0.02
30,1599007687,11.0.0.69,1,2017467,3.0718749999999773,38.819024896,1.7290631,7.2637576,9137.0,19.777566432,0.654,0.033
