,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599429727,11.0.0.178,UpdateGen,417706,2.4421874999825235,7.842279424,0.3097034,7.6946462,227.0,0.448160024,0.165,0.011
2,1599429787,11.0.0.178,UpdateGen,1170635,2.3390624999774303,17.909264384,0.3172953,7.6096522,559.0,1.0903058,0.165,0.011
4,1599429847,11.0.0.178,UpdateGen,1922716,2.325000000055283,28.210802687999998,0.3018836,7.700815,882.0,1.729516184,0.165,0.011
6,1599429907,11.0.0.178,UpdateGen,2674402,2.4156250000487347,38.34542080000001,0.2951187,7.627557,1223.0,2.394136008,0.165,0.011
8,1599429967,11.0.0.178,UpdateGen,3428181,3.2093750000785803,49.85583616,0.3156095,7.6865965,1575.0,3.061630176,0.341,0.025
10,1599430027,11.0.0.178,UpdateGen,4179775,4.600000000045853,49.856360448000004,0.3697715,7.666083,1920.0,3.760044528,0.341,0.025
12,1599430087,11.0.0.178,UpdateGen,4928781,4.867187500040032,49.856753664,0.3776027,7.6678277999999995,2272.0,4.444003208,0.341,0.025
14,1599430147,11.0.0.178,UpdateGen,5678769,3.468750000029104,49.857081344,0.31473229999999996,7.6804157,2631.0,5.16282848,0.341,0.025
16,1599430207,11.0.0.178,UpdateGen,6429625,3.4671874998821295,49.857409024,0.30904590000000004,7.6865493,2995.0,5.82556108,0.341,0.025
18,1599430267,11.0.0.178,UpdateGen,7178843,4.456250000021086,54.353702911999996,0.2660769,7.6473071,3345.0,6.522942696,1.205,0.034
20,1599430327,11.0.0.178,UpdateGen,7929884,2.751562499997803,54.353702911999996,0.2923631,7.6896835,3672.0,7.159477088,1.205,0.034
22,1599430387,11.0.0.178,UpdateGen,8682177,2.4281249999876167,54.353768448,0.2779697,7.7082284,3996.0,7.83355648,1.205,0.034
24,1599430447,11.0.0.178,UpdateGen,9433772,3.3500000000094303,54.353833984,0.3206522,7.657848700000001,4330.0,8.532933504,1.205,0.034
26,1599430507,11.0.0.178,UpdateGen,10187231,3.118750000012369,54.35389952,0.3169755,7.7199041,4671.0,9.228738464,1.205,0.034
28,1599430567,11.0.0.178,UpdateGen,10941122,4.990624999954875,54.387585024,0.32264590000000004,7.4830394,5010.0,9.887412848,1.857,0.045
30,1599430627,11.0.0.178,UpdateGen,11693307,3.6968749999687276,53.850714112000006,0.3347895,7.6959689000000004,5355.0,10.557481488,1.857,0.045
32,1599430687,11.0.0.178,UpdateGen,12442594,3.1171874999927525,53.850845184,0.316748,7.6623598,5698.0,11.258841008,1.857,0.045
34,1599430747,11.0.0.178,UpdateGen,13195460,2.093749999967258,53.85091072,0.2629252,7.6939018,6034.0,11.960546696,1.857,0.045
